PERMNO,date,PRC
10107,20090925,25.55000
10107,20090928,25.83000
10107,20090929,25.75000
10107,20090930,25.72000
10107,20091001,24.88000
10107,20091002,24.96000
10107,20091005,24.64000
10107,20091006,25.11000
10107,20091007,25.10000
10107,20091008,25.67000
10107,20091009,25.55000
10107,20091012,25.72000
10107,20091013,25.81000
10107,20091014,25.96000
10107,20091015,26.71000
10107,20091016,26.50000
10107,20091019,26.36000
10107,20091020,26.37000
10107,20091021,26.58000
10107,20091022,26.59000
10107,20091023,28.02000
10107,20091026,28.68000
10107,20091027,28.59000
10107,20091028,28.02000
10107,20091029,28.22000
10107,20091030,27.73000
10107,20091102,27.88000
10107,20091103,27.53000
10107,20091104,28.06000
10107,20091105,28.47000
10107,20091106,28.52000
10107,20091109,28.99000
10107,20091110,29.01000
10107,20091111,29.12000
10107,20091112,29.36000
10107,20091113,29.63000
10107,20091116,29.54000
10107,20091117,30.00000
10107,20091118,30.11000
10107,20091119,29.78000
10107,20091120,29.62000
10107,20091123,29.94000
10107,20091124,29.91000
10107,20091125,29.79000
10107,20091127,29.22000
10107,20091130,29.41000
10107,20091201,30.01000
10107,20091202,29.78000
10107,20091203,29.83000
10107,20091204,29.98000
10107,20091207,29.79000
10107,20091208,29.57000
10107,20091209,29.71000
10107,20091210,29.87000
10107,20091211,29.85000
10107,20091214,30.11000
10107,20091215,30.02000
10107,20091216,30.10000
10107,20091217,29.60000
10107,20091218,30.36000
10107,20091221,30.52000
10107,20091222,30.82000
10107,20091223,30.92000
10107,20091224,31.00000
10107,20091228,31.17000
10107,20091229,31.39000
10107,20091230,30.96000
10107,20091231,30.48000
10107,20100104,30.95000
10107,20100105,30.96000
10107,20100106,30.77000
10107,20100107,30.45200
10107,20100108,30.66000
10107,20100111,30.27000
10107,20100112,30.07000
10107,20100113,30.35000
10107,20100114,30.96000
10107,20100115,30.86000
10107,20100119,31.10000
10107,20100120,30.58500
10107,20100121,30.01000
10107,20100122,28.96000
10107,20100125,29.32000
10107,20100126,29.50000
10107,20100127,29.67000
10107,20100128,29.16000
10107,20100129,28.18000
10107,20100201,28.41000
10107,20100202,28.46000
10107,20100203,28.63000
10107,20100204,27.84000
10107,20100205,28.02000
10107,20100208,27.72000
10107,20100209,28.01000
10107,20100210,27.99000
10107,20100211,28.12000
10107,20100212,27.93000
10107,20100216,28.35000
10107,20100217,28.59000
10107,20100218,28.96900
10107,20100219,28.77000
10107,20100222,28.73000
10107,20100223,28.33000
10107,20100224,28.63000
10107,20100225,28.60000
10107,20100226,28.67000
10107,20100301,29.02000
10107,20100302,28.46000
10107,20100303,28.46000
10107,20100304,28.63000
10107,20100305,28.58750
10107,20100308,28.63000
10107,20100309,28.80000
10107,20100310,28.97000
10107,20100311,29.18000
10107,20100312,29.27000
10107,20100315,29.29000
10107,20100316,29.37000
10107,20100317,29.63000
10107,20100318,29.61000
10107,20100319,29.59000
10107,20100322,29.60000
10107,20100323,29.88000
10107,20100324,29.65000
10107,20100325,30.01000
10107,20100326,29.66000
10107,20100329,29.59000
10107,20100330,29.77000
10107,20100331,29.28750
10107,20100401,29.16000
10107,20100405,29.27000
10107,20100406,29.32000
10107,20100407,29.35000
10107,20100408,29.92000
10107,20100409,30.34000
10107,20100412,30.32000
10107,20100413,30.45000
10107,20100414,30.82000
10107,20100415,30.87000
10107,20100416,30.67000
10107,20100419,31.03900
10107,20100420,31.36000
10107,20100421,31.33200
10107,20100422,31.39000
10107,20100423,30.96000
10107,20100426,31.11000
10107,20100427,30.84500
10107,20100428,30.91000
10107,20100429,31.00300
10107,20100430,30.53500
10107,20100503,30.86000
10107,20100504,30.13000
10107,20100505,29.85000
10107,20100506,28.98000
10107,20100507,28.21000
10107,20100510,28.94000
10107,20100511,28.88000
10107,20100512,29.44000
10107,20100513,29.24000
10107,20100514,28.93000
10107,20100517,28.94000
10107,20100518,28.59750
10107,20100519,28.24000
10107,20100520,27.11000
10107,20100521,26.84000
10107,20100524,26.27000
10107,20100525,26.07000
10107,20100526,25.01000
10107,20100527,26.00000
10107,20100528,25.80000
10107,20100601,25.89000
10107,20100602,26.46000
10107,20100603,26.86000
10107,20100604,25.79000
10107,20100607,25.29000
10107,20100608,25.11000
10107,20100609,24.79000
10107,20100610,25.00000
10107,20100611,25.66000
10107,20100614,25.49500
10107,20100615,26.58250
10107,20100616,26.32000
10107,20100617,26.37000
10107,20100618,26.44000
10107,20100621,25.95000
10107,20100622,25.77000
10107,20100623,25.30800
10107,20100624,25.00000
10107,20100625,24.53250
10107,20100628,24.31000
10107,20100629,23.31000
10107,20100630,23.01000
10107,20100701,23.16000
10107,20100702,23.27000
10107,20100706,23.82000
10107,20100707,24.30000
10107,20100708,24.40950
10107,20100709,24.27000
10107,20100712,24.83000
10107,20100713,25.13000
10107,20100714,25.44000
10107,20100715,25.51000
10107,20100716,24.89000
10107,20100719,25.23000
10107,20100720,25.48000
10107,20100721,25.12000
10107,20100722,25.84000
10107,20100723,25.81000
10107,20100726,26.10000
10107,20100727,26.16000
10107,20100728,25.95000
10107,20100729,26.03000
10107,20100730,25.81000
10107,20100802,26.33000
10107,20100803,26.16000
10107,20100804,25.73000
10107,20100805,25.37000
10107,20100806,25.55000
10107,20100809,25.61000
10107,20100810,25.07000
10107,20100811,24.86000
10107,20100812,24.49000
10107,20100813,24.40000
10107,20100816,24.50000
10107,20100817,24.71000
10107,20100818,24.82000
10107,20100819,24.44000
10107,20100820,24.23000
10107,20100823,24.28000
10107,20100824,24.04000
10107,20100825,24.10000
10107,20100826,23.82000
10107,20100827,23.93000
10107,20100830,23.64000
10107,20100831,23.46500
10107,20100901,23.90000
10107,20100902,23.94000
10107,20100903,24.29000
10107,20100907,23.96000
10107,20100908,23.93000
10107,20100909,24.01000
10107,20100910,23.85000
10107,20100913,25.11000
10107,20100914,25.03000
10107,20100915,25.11500
10107,20100916,25.33000
10107,20100917,25.22000
10107,20100920,25.43000
10107,20100921,25.15000
10107,20100922,24.61000
10107,20100923,24.43000
10107,20100924,24.77500
10107,20100927,24.73250
10107,20100928,24.67750
10107,20100929,24.50000
10107,20100930,24.49000
10107,20101001,24.38000
10107,20101004,23.91000
10107,20101005,24.35000
10107,20101006,24.43000
10107,20101007,24.53000
10107,20101008,24.57000
10107,20101011,24.59000
10107,20101012,24.83000
10107,20101013,25.34000
10107,20101014,25.23000
10107,20101015,25.54000
10107,20101018,25.82000
10107,20101019,25.10000
10107,20101020,25.31000
10107,20101021,25.42000
10107,20101022,25.37750
10107,20101025,25.19000
10107,20101026,25.90000
10107,20101027,26.05000
10107,20101028,26.28000
10107,20101029,26.66500
10107,20101101,26.95000
10107,20101102,27.39000
10107,20101103,27.03000
10107,20101104,27.14000
10107,20101105,26.85000
10107,20101108,26.81000
10107,20101109,26.95000
10107,20101110,26.94000
10107,20101111,26.68000
10107,20101112,26.27000
10107,20101115,26.20000
10107,20101116,25.81000
10107,20101117,25.57000
10107,20101118,25.83750
10107,20101119,25.69000
10107,20101122,25.73000
10107,20101123,25.12000
10107,20101124,25.37000
10107,20101126,25.34000
10107,20101129,25.31000
10107,20101130,25.25750
10107,20101201,26.04000
10107,20101202,26.89000
10107,20101203,27.02000
10107,20101206,26.84000
10107,20101207,26.87000
10107,20101208,27.23000
10107,20101209,27.08000
10107,20101210,27.34000
10107,20101213,27.24500
10107,20101214,27.62000
10107,20101215,27.85000
10107,20101216,27.98750
10107,20101217,27.90250
10107,20101220,27.81000
10107,20101221,28.07000
10107,20101222,28.18750
10107,20101223,28.30000
10107,20101227,28.07000
10107,20101228,28.01000
10107,20101229,27.97000
10107,20101230,27.85000
10107,20101231,27.91000
10107,20110103,27.98000
10107,20110104,28.08750
10107,20110105,28.00000
10107,20110106,28.82000
10107,20110107,28.60000
10107,20110110,28.22000
10107,20110111,28.11000
10107,20110112,28.55000
10107,20110113,28.19000
10107,20110114,28.30000
10107,20110118,28.66000
10107,20110119,28.47000
10107,20110120,28.35250
10107,20110121,28.02000
10107,20110124,28.38000
10107,20110125,28.45000
10107,20110126,28.78000
10107,20110127,28.87000
10107,20110128,27.75100
10107,20110131,27.72500
10107,20110201,27.99250
10107,20110202,27.94000
10107,20110203,27.65000
10107,20110204,27.77000
10107,20110207,28.19750
10107,20110208,28.28250
10107,20110209,27.97000
10107,20110210,27.50000
10107,20110211,27.25000
10107,20110214,27.23000
10107,20110215,26.96000
10107,20110216,27.02000
10107,20110217,27.21000
10107,20110218,27.06000
10107,20110222,26.59000
10107,20110223,26.59000
10107,20110224,26.77000
10107,20110225,26.55000
10107,20110228,26.58000
10107,20110301,26.16000
10107,20110302,26.07750
10107,20110303,26.20000
10107,20110304,25.95250
10107,20110307,25.72000
10107,20110308,25.91000
10107,20110309,25.89000
10107,20110310,25.41000
10107,20110311,25.68000
10107,20110314,25.69000
10107,20110315,25.39000
10107,20110316,24.79000
10107,20110317,24.78000
10107,20110318,24.80000
10107,20110321,25.33000
10107,20110322,25.29500
10107,20110323,25.54000
10107,20110324,25.81000
10107,20110325,25.62000
10107,20110328,25.41000
10107,20110329,25.49000
10107,20110330,25.61000
10107,20110331,25.39000
10107,20110401,25.48000
10107,20110404,25.55000
10107,20110405,25.78000
10107,20110406,26.15000
10107,20110407,26.20000
10107,20110408,26.07000
10107,20110411,25.98000
10107,20110412,25.64000
10107,20110413,25.63000
10107,20110414,25.42000
10107,20110415,25.37000
10107,20110418,25.08000
10107,20110419,25.15000
10107,20110420,25.76000
10107,20110421,25.52000
10107,20110425,25.61000
10107,20110426,26.19000
10107,20110427,26.38000
10107,20110428,26.71000
10107,20110429,25.92000
10107,20110502,25.66000
10107,20110503,25.81000
10107,20110504,26.06000
10107,20110505,25.79000
10107,20110506,25.87000
10107,20110509,25.83000
10107,20110510,25.67000
10107,20110511,25.36000
10107,20110512,25.32000
10107,20110513,25.03000
10107,20110516,24.57000
10107,20110517,24.52000
10107,20110518,24.69000
10107,20110519,24.71500
